#  theta sf
 286.021 0.137654
 286.708 0.137824
 287.396 0.137994
 288.083 0.138163
 288.771 0.138331
 289.458 0.138498
 290.146 0.138665
 290.833 0.138831
 291.521 0.138996
 292.208 0.139161
 292.896 0.139325
 293.584 0.139489
 294.271 0.139651
 294.959 0.139814
 295.646 0.139975
 296.334 0.140136
 297.021 0.140296
 297.709 0.140456
 298.396 0.140615
 299.084 0.140773
 299.772 0.140931
 300.459 0.141088
 301.147 0.141244
 301.834 0.1414
 302.522 0.141555
 303.209 0.14171
 303.897 0.141864
 304.584 0.142017
 305.272 0.14217
 305.959 0.142322
 306.647 0.142473
 307.335 0.142624
 308.022 0.142774
 308.71 0.142924
 309.397 0.143073
 310.085 0.143222
 310.772 0.14337
 311.46 0.143517
 312.147 0.143664
 312.835 0.14381
 313.523 0.143955
 314.21 0.1441
 314.898 0.144245
 315.585 0.144388
 316.273 0.144532
 316.96 0.144674
 317.648 0.144816
 318.335 0.144958
 319.023 0.145099
 319.71 0.145239
 320.398 0.145379
 321.086 0.145519
 321.773 0.145657
 322.461 0.145795
 323.148 0.145933
 323.836 0.14607
 324.523 0.146207
 325.211 0.146343
 325.898 0.146478
 326.586 0.146613
 327.273 0.146747
 327.961 0.146881
 328.649 0.147014
 329.336 0.147147
 330.024 0.147279
 330.711 0.147411
 331.399 0.147542
 332.086 0.147673
 332.774 0.147803
 333.461 0.147933
 334.149 0.148062
 334.837 0.14819
 335.524 0.148318
 336.212 0.148446
 336.899 0.148573
 337.587 0.1487
 338.274 0.148826
 338.962 0.148951
 339.649 0.149076
 340.337 0.149201
 341.024 0.149325
 341.712 0.149448
 342.4 0.149571
 343.087 0.149694
 343.775 0.149816
